160,120,57,89
2021-07-16 12:50:08.868874,160,120,213,174
2021-07-16 12:50:09.345984,160,120,213,174
2021-07-16 12:50:09.780025,160,120,222,174
2021-07-16 12:50:10.217749,160,120,222,174
2021-07-16 12:50:10.665373,160,120,203,117
2021-07-16 12:50:11.131452,160,120,193,117
2021-07-16 12:50:11.565195,160,120,145,107
2021-07-16 12:50:11.998251,160,120,137,97
2021-07-16 12:50:12.424654,160,120,136,107
2021-07-16 12:50:12.855330,160,120,136,117
2021-07-16 12:50:13.277090,160,120,145,117
2021-07-16 12:50:13.499005,160,120,145,121
2021-07-16 12:50:13.718232,160,120,145,126
2021-07-16 12:50:13.939965,160,120,145,126
2021-07-16 12:50:14.157277,160,120,145,126
2021-07-16 12:50:14.377267,160,120,155,126
2021-07-16 12:50:14.594445,160,120,155,126
2021-07-16 12:50:14.834800,160,120,155,126
2021-07-16 12:50:15.070251,160,120,155,126
2021-07-16 12:50:15.306482,160,120,155,126
2021-07-16 12:50:15.541732,160,120,155,126
2021-07-16 12:50:15.786508,160,120,155,126
2021-07-16 12:50:16.045210,160,120,161,121
2021-07-16 12:50:16.292190,160,120,161,121
2021-07-16 12:50:16.526886,160,120,164,126
2021-07-16 12:50:16.799094,160,120,164,126
2021-07-16 12:50:17.035065,160,120,164,126
2021-07-16 12:50:17.302854,160,120,164,126
2021-07-16 12:50:17.541831,160,120,161,121
2021-07-16 12:50:17.789362,160,120,155,126
2021-07-16 12:50:18.024650,160,120,155,126
2021-07-16 12:50:18.284727,160,120,155,126
2021-07-16 12:50:18.555003,160,120,145,121
2021-07-16 12:50:18.798778,160,120,145,126
2021-07-16 12:50:19.028171,160,120,145,126
2021-07-16 12:50:19.260227,160,120,145,126
2021-07-16 12:50:19.490129,160,120,145,126
2021-07-16 12:50:19.721739,160,120,137,121
2021-07-16 12:50:19.953512,160,120,136,126
2021-07-16 12:50:20.186909,160,120,136,126
2021-07-16 12:50:20.411778,160,120,145,117
2021-07-16 12:50:22.222285,160,120,169,113
2021-07-16 12:50:22.451584,160,120,174,117
2021-07-16 12:50:22.675154,160,120,174,117
2021-07-16 12:50:22.907912,160,120,174,117
2021-07-16 12:50:23.131922,160,120,174,117
2021-07-16 12:50:23.378871,160,120,164,117
2021-07-16 12:50:24.863131,160,120,164,117
2021-07-16 12:50:25.092659,160,120,164,117
2021-07-16 12:50:25.326799,160,120,164,117
2021-07-16 12:50:25.565977,160,120,164,117
2021-07-16 12:50:25.801881,160,120,164,117
2021-07-16 12:50:26.033563,160,120,164,117
2021-07-16 12:50:26.267394,160,120,164,117
2021-07-16 12:50:26.504535,160,120,155,117
2021-07-16 12:50:26.742847,160,120,163,129
2021-07-16 12:50:27.224131,160,120,155,126
2021-07-16 12:50:27.712813,160,120,155,117
2021-07-16 12:50:27.947600,160,120,164,117
2021-07-16 12:50:28.187427,160,120,164,117
2021-07-16 12:50:28.416249,160,120,174,117
2021-07-16 12:50:28.678661,160,120,174,117
2021-07-16 12:50:28.965712,160,120,164,117
2021-07-16 12:50:29.269386,160,120,164,117
2021-07-16 12:50:29.517276,160,120,163,129
2021-07-16 12:50:29.767300,160,120,163,129
2021-07-16 12:50:29.999995,160,120,163,129
2021-07-16 12:50:30.236973,160,120,155,117
2021-07-16 12:50:30.478026,160,120,152,129
2021-07-16 12:50:30.708118,160,120,155,117
2021-07-16 12:50:30.934388,160,120,155,117
2021-07-16 12:50:31.159993,160,120,164,117
2021-07-16 12:50:31.384187,160,120,164,117
2021-07-16 12:50:31.612005,160,120,164,117
2021-07-16 12:50:31.836301,160,120,164,117
2021-07-16 12:50:32.077236,160,120,155,117
2021-07-16 12:50:32.301896,160,120,155,117
2021-07-16 12:50:32.543873,160,120,155,117
2021-07-16 12:50:32.768912,160,120,145,117
2021-07-16 12:50:33.009211,160,120,145,117
2021-07-16 12:50:33.232592,160,120,152,129
2021-07-16 12:50:33.476190,160,120,145,117
2021-07-16 12:50:33.704416,160,120,145,117
2021-07-16 12:50:33.943121,160,120,145,117
2021-07-16 12:50:34.169200,160,120,155,117
2021-07-16 12:50:34.405279,160,120,155,117
2021-07-16 12:50:34.630599,160,120,164,117
2021-07-16 12:50:34.862791,160,120,164,117
2021-07-16 12:50:35.087962,160,120,164,117
2021-07-16 12:50:35.316440,160,120,155,117
2021-07-16 12:50:35.545485,160,120,155,117
2021-07-16 12:50:35.780727,160,120,145,117
2021-07-16 12:50:36.003388,160,120,152,129
2021-07-16 12:50:36.240510,160,120,152,129
2021-07-16 12:50:36.482099,160,120,152,129
2021-07-16 12:50:36.932381,160,120,155,117
2021-07-16 12:50:37.159247,160,120,155,117
2021-07-16 12:50:37.385530,160,120,164,117
2021-07-16 12:50:37.635062,160,120,174,117
2021-07-16 12:50:37.877120,160,120,174,117
2021-07-16 12:50:38.111805,160,120,164,117
2021-07-16 12:50:38.341179,160,120,164,117
2021-07-16 12:50:38.573874,160,120,164,117
2021-07-16 12:50:38.808013,160,120,155,117
2021-07-16 12:50:39.038280,160,120,155,117
2021-07-16 12:50:39.269436,160,120,155,117
2021-07-16 12:50:39.494936,160,120,155,117
2021-07-16 12:50:39.715854,160,120,155,117
2021-07-16 12:50:39.943819,160,120,164,126
2021-07-16 12:50:40.166526,160,120,174,126
2021-07-16 12:50:40.452256,160,120,174,126
2021-07-16 12:50:40.729679,160,120,174,126
2021-07-16 12:50:41.006901,160,120,164,126
2021-07-16 12:50:41.288256,160,120,164,126
2021-07-16 12:50:41.566719,160,120,155,126
2021-07-16 12:50:42.258270,160,120,155,126
2021-07-16 12:50:42.500931,160,120,155,126
2021-07-16 12:50:42.723124,160,120,164,126
2021-07-16 12:50:43.027915,160,120,164,126
2021-07-16 12:50:43.277052,160,120,164,126
2021-07-16 12:50:43.519513,160,120,164,126
2021-07-16 12:50:43.767827,160,120,164,126
2021-07-16 12:50:43.988194,160,120,164,126
2021-07-16 12:50:44.273433,160,120,164,126
2021-07-16 12:50:44.554566,160,120,155,126
2021-07-16 12:50:45.349798,160,120,155,126
2021-07-16 12:50:45.601619,160,120,155,126
2021-07-16 12:50:45.824696,160,120,155,126
2021-07-16 12:50:46.071000,160,120,164,126
2021-07-16 12:50:46.306755,160,120,164,126
2021-07-16 12:50:46.552596,160,120,164,126
2021-07-16 12:50:46.808039,160,120,164,126
2021-07-16 12:50:47.071982,160,120,164,126
2021-07-16 12:50:47.317680,160,120,164,126
2021-07-16 12:50:47.578611,160,120,155,126
2021-07-16 12:50:47.811800,160,120,155,126
2021-07-16 12:50:49.222887,160,120,174,117
2021-07-16 12:50:49.681498,160,120,184,107
2021-07-16 12:50:49.930394,160,120,177,105
2021-07-16 12:50:50.220932,160,120,184,107
2021-07-16 12:50:50.467400,160,120,174,107
2021-07-16 12:50:50.702864,160,120,177,105
2021-07-16 12:50:50.956978,160,120,174,107
2021-07-16 12:50:51.198220,160,120,169,105
2021-07-16 12:50:51.703315,160,120,155,117
2021-07-16 12:50:52.190955,160,120,164,117
2021-07-16 12:50:52.441910,160,120,164,107
2021-07-16 12:50:52.687756,160,120,164,107
2021-07-16 12:50:53.440540,160,120,164,117
2021-07-16 12:50:53.688567,160,120,155,117
2021-07-16 12:50:53.909640,160,120,155,117
2021-07-16 18:55:27.979697,160,120,69,69
2021-07-16 18:55:28.203736,160,120,73,89
2021-07-16 18:55:28.427864,160,120,81,113
2021-07-16 18:55:28.649391,160,120,81,121
2021-07-16 18:55:29.093068,160,120,89,129
2021-07-16 18:55:32.642514,160,120,164,107
2021-07-16 18:55:32.879190,160,120,153,105
2021-07-16 18:55:33.100181,160,120,145,97
2021-07-16 18:55:33.343251,160,120,137,97
2021-07-16 18:55:33.585219,160,120,129,105
2021-07-16 18:55:43.206637,160,120,113,145
2021-07-16 18:55:43.431570,160,120,113,129
2021-07-16 18:55:43.652135,160,120,113,105
2021-07-16 18:55:43.873235,160,120,113,89
2021-07-16 18:55:44.113819,160,120,107,88
2021-07-16 18:55:44.358336,160,120,106,83
2021-07-16 18:55:44.604215,160,120,117,83
2021-07-16 18:55:44.843983,160,120,117,83
2021-07-16 18:55:45.065078,160,120,117,83
2021-07-16 18:55:45.288650,160,120,140,83
2021-07-16 18:55:45.508982,160,120,140,83
2021-07-16 18:55:45.734445,160,120,140,83
2021-07-16 18:55:45.955171,160,120,140,94
2021-07-16 18:55:46.183590,160,120,152,117
2021-07-16 18:55:46.423950,160,120,152,129
2021-07-16 18:55:46.654474,160,120,152,129
2021-07-16 18:55:46.874847,160,120,152,129
2021-07-16 18:55:47.096506,160,120,164,126
2021-07-16 18:55:47.568937,160,120,161,177
2021-07-16 18:55:47.797752,160,120,153,177
2021-07-16 18:55:48.029709,160,120,161,169
2021-07-16 18:55:48.249382,160,120,169,161
2021-07-16 18:55:48.471984,160,120,169,161
2021-07-16 18:56:04.336286,160,120,185,161
2021-07-16 18:56:04.583517,160,120,185,161
2021-07-16 18:56:04.815546,160,120,193,161
2021-07-16 18:56:05.057653,160,120,193,161
2021-07-16 18:56:05.284177,160,120,185,161
2021-07-16 18:56:05.529677,160,120,185,161
2021-07-16 18:56:05.755484,160,120,185,161
2021-07-16 18:56:05.987596,160,120,185,161
2021-07-16 18:56:06.428956,160,120,169,129
2021-07-16 18:56:06.647429,160,120,169,129
2021-07-16 18:56:06.868558,160,120,169,129
2021-07-16 18:56:07.089181,160,120,169,129
2021-07-16 18:56:07.534193,160,120,161,113
2021-07-16 18:56:07.757905,160,120,161,113
2021-07-16 18:56:07.981982,160,120,161,113
2021-07-16 18:56:08.211237,160,120,161,113
2021-07-16 18:56:08.430755,160,120,161,113
2021-07-16 18:56:08.694608,160,120,161,113
2021-07-16 18:56:08.940265,160,120,161,113
2021-07-16 18:56:09.182055,160,120,161,113
2021-07-16 18:56:09.422660,160,120,161,121
2021-07-16 18:56:09.673991,160,120,161,121
2021-07-16 18:56:09.900109,160,120,161,121
2021-07-16 18:56:10.144853,160,120,161,121
2021-07-16 18:56:10.369575,160,120,161,121
2021-07-16 18:56:10.610564,160,120,161,121
2021-07-16 18:56:10.832466,160,120,161,121
2021-07-16 18:56:11.072579,160,120,161,121
2021-07-16 18:56:11.296079,160,120,161,121
2021-07-16 18:56:11.533514,160,120,153,121
2021-07-16 18:56:11.756757,160,120,137,113
2021-08-13 08:21:07.090606,0
2021-08-13 08:21:09.356561,0
2021-08-13 08:21:14.383538,0
2021-08-13 08:21:14.636934,0
2021-08-13 08:21:14.922129,0
2021-08-13 08:21:15.182217,0
2021-08-13 08:21:15.408307,0
2021-08-13 08:21:15.674663,0
2021-08-13 08:21:15.919197,0
2021-08-13 08:21:16.177539,0
2021-08-13 08:21:16.765495,0
2021-08-13 08:21:16.986862,0
2021-08-13 08:21:17.212359,0
